Date,Open,High,Low,Close,Volume
2016-05-16,87.0,87.0,84.0,86.0,32078.0
2016-05-13,88.0,90.0,85.0,86.0,45608.0
2016-05-12,93.0,93.0,86.0,89.0,35551.0
2016-05-11,93.0,94.0,87.0,88.0,81978.0
2016-05-10,85.0,100.0,85.0,89.0,268472.0
2016-05-09,83.0,85.0,82.0,84.0,32572.0
2016-05-06,83.0,86.0,81.0,84.0,51902.0
2016-05-02,84.0,85.0,82.0,84.0,14756.0
2016-04-28,87.0,88.0,83.0,84.0,78030.0
2016-04-27,87.0,88.0,85.0,86.0,51287.0
2016-04-26,88.0,92.0,86.0,86.0,98635.0
2016-04-25,88.0,92.0,85.0,91.0,61645.0
2016-04-22,87.0,90.0,86.0,88.0,76246.0
2016-04-21,86.0,88.0,85.0,86.0,63118.0
2016-04-20,85.0,88.0,80.0,87.0,238027.0
2016-04-19,93.0,93.0,80.0,82.0,470905.0
2016-04-18,97.0,98.0,90.0,92.0,116872.0
2016-04-15,99.0,103.0,95.0,97.0,99900.0
2016-04-14,103.0,113.0,97.0,97.0,173088.0
2016-04-13,95.0,99.0,94.0,98.0,156283.0
2016-04-12,99.0,103.0,91.0,95.0,221146.0
2016-04-11,104.0,107.0,95.0,97.0,168809.0
2016-04-08,114.0,118.0,103.0,104.0,183675.0
2016-04-07,121.0,123.0,114.0,115.0,72765.0
2016-04-06,124.0,126.0,121.0,123.0,10956.0
2016-04-05,129.0,130.0,123.0,123.0,19093.0
2016-04-04,128.0,133.0,126.0,128.0,29214.0
2016-04-01,131.0,133.0,126.0,127.0,26607.0
2016-03-31,134.0,138.0,130.0,130.0,78686.0
2016-03-30,134.0,135.0,132.0,133.0,31084.0
2016-03-29,141.0,145.0,130.0,133.0,34009.0
2016-03-28,142.0,145.0,140.0,140.0,8274.0
2016-03-25,142.0,145.0,142.0,143.0,9895.0
2016-03-24,138.0,141.0,138.0,140.0,8293.0
2016-03-23,144.0,145.0,138.0,140.0,11202.0
2016-03-22,140.0,142.0,139.0,141.0,6540.0
2016-03-18,145.0,145.0,136.0,139.0,19955.0
2016-03-17,148.0,153.0,143.0,144.0,31409.0
2016-03-16,134.0,176.0,134.0,148.0,135578.0
2016-03-15,134.0,137.0,134.0,136.0,11251.0
2016-03-14,135.0,138.0,134.0,136.0,12422.0
2016-03-11,137.0,138.0,135.0,137.0,11434.0
2016-03-10,138.0,146.0,134.0,138.0,57202.0
2016-03-09,134.0,141.0,132.0,138.0,23627.0
2016-03-08,133.0,135.0,131.0,135.0,19017.0
2016-03-07,134.0,135.0,130.0,135.0,24227.0
2016-03-04,134.0,134.0,128.0,132.0,30627.0
2016-03-03,134.0,135.0,132.0,134.0,19842.0
2016-03-02,133.0,136.0,133.0,134.0,13243.0
2016-03-01,138.0,138.0,132.0,135.0,25932.0
2016-02-29,136.0,139.0,134.0,136.0,27088.0
2016-02-26,131.0,139.0,131.0,133.0,31549.0
2016-02-25,130.0,134.0,129.0,134.0,16596.0
2016-02-24,133.0,139.0,127.0,134.0,15972.0
2016-02-23,146.0,150.0,124.0,133.0,103782.0
2016-02-22,149.0,153.0,142.0,144.0,34238.0
2016-02-19,161.0,168.0,148.0,148.0,42542.0
2016-02-18,160.0,178.0,157.0,162.0,56224.0
2016-02-17,150.0,197.0,147.0,159.0,121428.0
2016-02-16,144.0,150.0,144.0,147.0,6795.0
2016-02-15,142.0,150.0,140.0,145.0,7975.0
2016-02-12,150.0,150.0,130.0,143.0,28044.0
2016-02-10,154.0,156.0,152.0,154.0,14235.0
2016-02-09,154.0,155.0,152.0,152.0,15143.0
2016-02-08,155.0,159.0,150.0,158.0,8106.0
2016-02-05,155.0,157.0,152.0,155.0,3978.0
2016-02-04,154.0,159.0,153.0,155.0,30697.0
2016-02-03,168.0,171.0,155.0,159.0,14440.0
2016-02-02,168.0,182.0,167.0,171.0,59351.0
2016-02-01,153.0,165.0,153.0,160.0,14104.0
2016-01-29,154.0,155.0,150.0,152.0,12562.0
2016-01-28,152.0,157.0,148.0,153.0,17837.0
2016-01-27,153.0,157.0,152.0,154.0,6835.0
2016-01-26,153.0,155.0,151.0,153.0,3753.0
2016-01-25,155.0,158.0,151.0,153.0,7359.0
2016-01-22,154.0,158.0,150.0,152.0,12472.0
2016-01-21,150.0,155.0,150.0,151.0,13386.0
2016-01-20,169.0,169.0,150.0,154.0,19190.0
2016-01-19,156.0,170.0,156.0,167.0,15196.0
2016-01-18,156.0,160.0,143.0,158.0,15778.0
2016-01-15,155.0,162.0,154.0,157.0,16546.0
2016-01-14,159.0,160.0,146.0,154.0,41824.0
2016-01-13,173.0,173.0,155.0,161.0,63347.0
2016-01-12,176.0,178.0,170.0,170.0,8982.0
2016-01-08,178.0,178.0,170.0,176.0,28760.0
2016-01-07,183.0,185.0,177.0,180.0,15679.0
2016-01-06,185.0,190.0,185.0,186.0,23188.0
2016-01-05,185.0,189.0,180.0,185.0,16323.0
2016-01-04,192.0,197.0,180.0,188.0,37729.0
2015-12-30,196.0,202.0,180.0,187.0,88148.0
2015-12-29,188.0,215.0,183.0,204.0,56553.0
2015-12-28,174.0,190.0,173.0,187.0,34820.0
2015-12-25,183.0,186.0,171.0,172.0,55539.0
2015-12-24,197.0,197.0,182.0,186.0,36872.0
2015-12-22,188.0,196.0,186.0,192.0,42209.0
2015-12-21,211.0,221.0,175.0,190.0,169552.0
2015-12-18,215.0,250.0,213.0,216.0,140898.0
2015-12-17,230.0,232.0,217.0,220.0,45057.0
2015-12-16,229.0,235.0,223.0,227.0,19797.0
2015-12-15,236.0,236.0,220.0,225.0,36517.0
2015-12-14,235.0,238.0,230.0,233.0,7606.0
2015-12-11,235.0,244.0,232.0,239.0,20054.0
2015-12-10,233.0,236.0,230.0,234.0,12545.0
2015-12-09,236.0,239.0,231.0,236.0,16464.0
2015-12-08,237.0,238.0,223.0,235.0,67386.0
2015-12-07,240.0,248.0,230.0,234.0,121003.0
2015-12-04,249.0,254.0,235.0,254.0,44922.0
2015-12-03,257.0,262.0,244.0,247.0,33346.0
2015-12-02,269.0,270.0,253.0,257.0,39977.0
2015-12-01,255.0,265.0,249.0,261.0,47147.0
2015-11-30,242.0,257.0,242.0,253.0,43617.0
2015-11-27,250.0,264.0,238.0,240.0,128502.0
2015-11-26,269.0,269.0,247.0,251.0,104009.0
2015-11-25,287.0,287.0,263.0,269.0,90776.0
2015-11-24,297.0,297.0,275.0,288.0,51940.0
2015-11-20,293.0,299.0,288.0,297.0,12888.0
2015-11-19,289.0,295.0,282.0,290.0,32275.0
2015-11-18,287.0,293.0,280.0,283.0,28184.0
2015-11-17,288.0,325.0,280.0,287.0,94105.0
2015-11-16,280.0,286.0,276.0,284.0,16444.0
2015-11-13,280.0,290.0,275.0,277.0,34358.0
2015-11-12,289.0,297.0,276.0,280.0,71287.0
2015-11-11,315.0,315.0,285.0,297.0,47634.0
2015-11-10,335.0,335.0,307.0,317.0,30780.0
2015-11-09,341.0,354.0,334.0,340.0,28973.0
2015-11-06,386.0,389.0,332.0,341.0,59608.0
2015-11-05,337.0,416.0,320.0,378.0,169355.0
2015-11-04,287.0,370.0,287.0,344.0,200742.0
2015-11-02,279.0,291.0,279.0,290.0,27427.0
2015-10-30,279.0,281.0,273.0,280.0,19996.0
2015-10-29,272.0,284.0,263.0,271.0,27329.0
2015-10-28,272.0,272.0,263.0,267.0,19063.0
2015-10-27,284.0,292.0,262.0,273.0,41271.0
2015-10-26,284.0,314.0,281.0,281.0,46694.0
2015-10-23,298.0,310.0,282.0,282.0,24819.0
2015-10-22,298.0,307.0,289.0,298.0,26552.0
2015-10-21,302.0,314.0,280.0,296.0,38690.0
2015-10-20,275.0,346.0,275.0,298.0,249356.0
2015-10-19,247.0,285.0,240.0,266.0,50349.0
2015-10-16,227.0,258.0,227.0,247.0,28445.0
2015-10-15,227.0,232.0,215.0,230.0,35208.0
2015-10-14,231.0,231.0,223.0,229.0,15779.0
2015-10-13,232.0,233.0,228.0,231.0,13395.0
2015-10-09,236.0,237.0,232.0,232.0,6998.0
2015-10-08,237.0,239.0,228.0,232.0,12449.0
2015-10-07,250.0,252.0,234.0,240.0,10854.0
2015-10-06,255.0,262.0,247.0,250.0,18745.0
2015-10-05,237.0,270.0,237.0,253.0,43324.0
2015-10-02,227.0,237.0,221.0,237.0,17656.0
2015-10-01,226.0,230.0,224.0,226.0,5261.0
2015-09-30,220.0,235.0,219.0,221.0,17595.0
2015-09-29,228.0,229.0,215.0,218.0,13232.0
2015-09-28,230.0,234.0,225.0,229.0,14002.0
2015-09-25,226.0,230.0,225.0,229.0,7837.0
2015-09-24,225.0,230.0,224.0,226.0,4652.0
2015-09-18,229.0,230.0,222.0,229.0,12059.0
2015-09-17,233.0,236.0,225.0,228.0,14896.0
2015-09-16,233.0,240.0,227.0,228.0,14538.0
2015-09-15,245.0,247.0,230.0,243.0,14241.0
2015-09-14,247.0,250.0,242.0,245.0,6951.0
2015-09-11,249.0,263.0,240.0,246.0,19278.0
2015-09-10,245.0,260.0,240.0,247.0,13209.0
2015-09-09,251.0,256.0,240.0,253.0,11831.0
2015-09-08,244.0,258.0,240.0,244.0,14261.0
2015-09-07,238.0,248.0,238.0,246.0,7471.0
2015-09-04,265.0,265.0,247.0,249.0,8060.0
2015-09-03,265.0,266.0,257.0,263.0,13563.0
2015-09-02,249.0,266.0,246.0,265.0,13689.0
2015-09-01,270.0,272.0,260.0,265.0,3711.0
2015-08-31,269.0,270.0,258.0,265.0,11278.0
2015-08-28,262.0,273.0,260.0,270.0,25461.0
2015-08-27,245.0,268.0,245.0,265.0,36751.0
2015-08-26,249.0,262.0,244.0,248.0,17643.0
2015-08-25,254.0,256.0,235.0,246.0,36372.0
2015-08-24,285.0,290.0,266.0,266.0,23380.0
2015-08-21,280.0,293.0,277.0,290.0,42518.0
2015-08-20,312.0,313.0,293.0,294.0,29546.0
2015-08-19,313.0,314.0,309.0,311.0,3903.0
2015-08-18,318.0,321.0,310.0,313.0,10532.0
2015-08-17,323.0,326.0,317.0,325.0,9865.0
2015-08-14,326.0,326.0,318.0,325.0,14735.0
2015-08-13,315.0,328.0,315.0,320.0,11125.0
2015-08-12,315.0,327.0,312.0,313.0,15351.0
2015-08-11,310.0,314.0,306.0,313.0,6644.0
2015-08-10,308.0,321.0,301.0,308.0,18847.0
2015-08-07,313.0,328.0,310.0,315.0,11670.0
2015-08-06,317.0,323.0,310.0,319.0,20714.0
2015-08-05,316.0,326.0,314.0,317.0,15804.0
2015-08-04,320.0,342.0,312.0,329.0,34118.0
2015-08-03,348.0,349.0,330.0,334.0,8775.0
2015-07-31,373.0,374.0,320.0,345.0,40218.0
2015-07-30,317.0,375.0,307.0,365.0,136722.0
2015-07-29,347.0,357.0,295.0,315.0,98568.0
2015-07-28,399.0,399.0,325.0,339.0,137062.0
2015-07-27,418.0,424.0,396.0,405.0,31433.0
2015-07-24,424.0,425.0,411.0,423.0,4881.0
2015-07-23,420.0,427.0,414.0,423.0,12966.0
2015-07-22,428.0,428.0,409.0,423.0,13862.0
2015-07-21,425.0,436.0,402.0,420.0,35503.0
2015-07-17,449.0,460.0,420.0,425.0,62018.0
2015-07-16,408.0,460.0,402.0,441.0,38851.0
2015-07-15,414.0,450.0,409.0,424.0,27517.0
2015-07-14,435.0,436.0,420.0,422.0,18542.0
2015-07-13,444.0,470.0,420.0,425.0,55932.0
2015-07-10,420.0,488.0,420.0,439.0,287295.0
2015-07-09,320.0,408.0,318.0,408.0,241751.0
2015-07-08,308.0,338.0,295.0,328.0,168731.0
2015-07-07,315.0,320.0,274.0,298.0,281382.0
2015-07-06,387.0,410.0,299.0,299.0,197467.0
2015-07-03,449.0,472.0,371.0,379.0,47485.0
2015-07-02,489.0,490.0,435.0,441.0,54956.0
2015-07-01,500.0,500.0,468.0,481.0,20426.0
2015-06-30,503.0,504.0,493.0,500.0,3038.0
2015-06-29,505.0,510.0,497.0,501.0,16449.0
2015-06-26,510.0,519.0,506.0,509.0,6672.0
2015-06-25,525.0,526.0,505.0,512.0,11827.0
2015-06-24,539.0,539.0,515.0,519.0,15091.0
2015-06-23,545.0,545.0,530.0,530.0,2125.0
2015-06-22,536.0,552.0,535.0,541.0,3156.0
2015-06-19,531.0,539.0,525.0,530.0,1726.0
2015-06-18,527.0,538.0,522.0,522.0,5461.0
2015-06-17,544.0,550.0,530.0,534.0,9968.0
2015-06-16,550.0,556.0,545.0,552.0,3669.0
2015-06-15,546.0,555.0,543.0,551.0,3889.0
2015-06-12,544.0,547.0,541.0,544.0,1478.0
2015-06-11,539.0,546.0,539.0,544.0,1191.0
2015-06-10,544.0,547.0,532.0,544.0,4698.0
2015-06-09,543.0,548.0,531.0,532.0,5383.0
2015-06-08,539.0,548.0,538.0,544.0,2096.0
